city,year,gov_ratio
서울계,2014,0.0717507385449777
부산계,2014,0.119993727931763
대구계,2014,0.135518611895042
인천계,2014,0.113126745763321
광주계,2014,0.125303162527541
대전계,2014,0.114930525020094
울산계,2014,0.0469074521411472
세종계,2014,0.06003185929086
경기계,2014,0.083840244877938
강원계,2014,0.233162572054756
충북계,2014,0.145113276938006
충남계,2014,0.107028943077647
전북계,2014,0.225537749252787
전남계,2014,0.18419391626606
경북계,2014,0.143393583225457
경남계,2014,0.140382335577211
제주계,2014,0.16726098105864
서울계,2015,0.0735772873217644
부산계,2015,0.122688395759671
대구계,2015,0.136026009914423
인천계,2015,0.104322138383631
광주계,2015,0.129405678457459
대전계,2015,0.112024668395393
울산계,2015,0.0487191775070978
세종계,2015,0.0697930330284734
경기계,2015,0.0840656496198248
강원계,2015,0.241278728819896
충북계,2015,0.138823235215616
충남계,2015,0.105193780827318
전북계,2015,0.229372054107083
전남계,2015,0.188751947589515
경북계,2015,0.149986554877285
경남계,2015,0.140806896537935
제주계,2015,0.172527643643457
서울계,2016,0.0743051164894192
부산계,2016,0.128985453074965
대구계,2016,0.144874473833951
인천계,2016,0.111028881784896
광주계,2016,0.124818546174986
대전계,2016,0.112142303893468
울산계,2016,0.0541962418838015
세종계,2016,0.0729757085758863
경기계,2016,0.0834504947688036
강원계,2016,0.238654274850638
충북계,2016,0.129633721818909
충남계,2016,0.105398715400493
전북계,2016,0.228633083628963
전남계,2016,0.184663612893238
경북계,2016,0.155995324520919
경남계,2016,0.140060518263825
제주계,2016,0.167818342565721
서울계,2017,0.0760292213679491
부산계,2017,0.131413890798411
대구계,2017,0.146358156609725
인천계,2017,0.113432352575116
광주계,2017,0.123895239874604
대전계,2017,0.117360226485826
울산계,2017,0.0594135108741245
세종계,2017,0.082420371367431
경기계,2017,0.0836308542649384
강원계,2017,0.23145005366042
충북계,2017,0.125736071728886
충남계,2017,0.100100199390816
전북계,2017,0.23181101513799
전남계,2017,0.187699338967489
경북계,2017,0.157142897996528
경남계,2017,0.146327986906964
제주계,2017,0.171263023762859
서울계,2018,0.0792274601122173
부산계,2018,0.138436624031184
대구계,2018,0.154990125766416
인천계,2018,0.120620112825669
광주계,2018,0.134251665556491
대전계,2018,0.132378122341743
울산계,2018,0.0647744934972509
세종계,2018,0.0910443120387765
경기계,2018,0.0904992753055573
강원계,2018,0.239766385033063
충북계,2018,0.127834963543797
충남계,2018,0.108375701506574
전북계,2018,0.249320029461445
전남계,2018,0.201676935225936
경북계,2018,0.168208291347763
경남계,2018,0.155791622656031
제주계,2018,0.189796042350568
서울계,2019,0.0842161066511729
부산계,2019,0.143870740267814
대구계,2019,0.165346056301097
인천계,2019,0.131707616958547
광주계,2019,0.144308375152636
대전계,2019,0.137889492055837
울산계,2019,0.0693504690997489
세종계,2019,0.0863646386828787
경기계,2019,0.099825471078914
강원계,2019,0.252534775639194
충북계,2019,0.137257218555678
충남계,2019,0.121395748207276
전북계,2019,0.269133247170052
전남계,2019,0.218220177883331
경북계,2019,0.184361176834518
경남계,2019,0.169316148202357
제주계,2019,0.201802651680602
서울계,2020,0.0923256583422277
부산계,2020,0.162052252754627
대구계,2020,0.182417528629261
인천계,2020,0.146847682024
광주계,2020,0.155109714335084
대전계,2020,0.150871746119147
울산계,2020,0.0809692605501594
세종계,2020,0.0857208625335234
경기계,2020,0.106487159730634
강원계,2020,0.279951715058738
충북계,2020,0.152319000576073
충남계,2020,0.131116555446628
전북계,2020,0.289374994222591
전남계,2020,0.239381376316672
경북계,2020,0.206542528105706
경남계,2020,0.197706741543791
제주계,2020,0.229607520680094
서울계,2021,0.0899946840613218
부산계,2021,0.159915435388745
대구계,2021,0.183053440227135
인천계,2021,0.141815383394473
광주계,2021,0.162828610659657
대전계,2021,0.154518462010216
울산계,2021,0.0719830858217595
세종계,2021,0.0885325281625794
경기계,2021,0.10472147160526
강원계,2021,0.282939244556126
충북계,2021,0.157402683287385
충남계,2021,0.130472301661499
전북계,2021,0.305222094602437
전남계,2021,0.223813907934611
경북계,2021,0.210001052991394
경남계,2021,0.204367844610338
제주계,2021,0.215523519830783
서울계,2022,0.0969857182996448
부산계,2022,0.162890138067463
대구계,2022,0.188492556820084
인천계,2022,0.143012661820117
광주계,2022,0.1814588175638
대전계,2022,0.169424530178005
울산계,2022,0.0744546359022989
세종계,2022,0.098414963127749
경기계,2022,0.116448951223333
강원계,2022,0.295036644871151
충북계,2022,0.16291225167681
충남계,2022,0.138242311247035
전북계,2022,0.314643929417373
전남계,2022,0.239307887175396
경북계,2022,0.221873363234928
경남계,2022,0.208281011828025
제주계,2022,0.220436026472415
서울계,2023,0.10032410274185
부산계,2023,0.175961144052621
대구계,2023,0.193910208211976
인천계,2023,0.149482834554121
광주계,2023,0.177803140095221
대전계,2023,0.164993976783399
울산계,2023,0.0752774911424118
세종계,2023,0.0954531627241596
경기계,2023,0.119123889872971
강원계,2023,0.292642765398373
충북계,2023,0.167731575251588
충남계,2023,0.144968557081335
전북계,2023,0.321673606053417
전남계,2023,0.247483226187315
경북계,2023,0.230528965886938
경남계,2023,0.206087037341654
제주계,2023,0.225773392841354
