city,year,college_students_per10k
서울특별시,2014,555.204047063371
부산광역시,2014,767.652617578244
대구광역시,2014,510.806772532656
인천광역시,2014,246.662278464237
광주광역시,2014,787.803727926224
대전광역시,2014,973.830136603882
울산광역시,2014,299.925687474733
세종특별자치시,2014,1608.93707033316
경기도,2014,379.855351646059
강원특별자치도,2014,888.481190081372
충청북도,2014,834.246067271235
충청남도,2014,1017.02017298418
전북특별자치도,2014,687.33437868743
전라남도,2014,431.512579406567
경상북도,2014,813.290698279378
경상남도,2014,376.189274613591
제주특별자치도,2014,486.509532620063
서울특별시,2015,550.839466267229
부산광역시,2015,746.652883043334
대구광역시,2015,502.221585778669
인천광역시,2015,239.652701338435
광주광역시,2015,778.893022794022
대전광역시,2015,980.184224633938
울산광역시,2015,295.261299123043
세종특별자치시,2015,1161.66893694837
경기도,2015,365.436004254022
강원특별자치도,2015,867.472189644098
충청북도,2015,823.790091359028
충청남도,2015,981.556371773841
전북특별자치도,2015,685.287501219734
전라남도,2015,419.177113183286
경상북도,2015,795.534098600192
경상남도,2015,367.009977899738
제주특별자치도,2015,475.742763368181
서울특별시,2016,551.4375311702
부산광역시,2016,729.030837463951
대구광역시,2016,491.969494832839
인천광역시,2016,233.241133419404
광주광역시,2016,763.020654957848
대전광역시,2016,965.094145572203
울산광역시,2016,288.85370906059
세종특별자치시,2016,982.483295717464
경기도,2016,352.353116559134
강원특별자치도,2016,846.448990482172
충청북도,2016,793.658012542375
충청남도,2016,939.793609880023
전북특별자치도,2016,670.320081644259
전라남도,2016,408.991436530307
경상북도,2016,768.761976473872
경상남도,2016,354.485755271077
제주특별자치도,2016,459.761944373024
서울특별시,2017,553.428443790107
부산광역시,2017,711.636999738091
대구광역시,2017,482.884853456067
인천광역시,2017,226.349639239384
광주광역시,2017,753.820244315171
대전광역시,2017,942.61340380533
울산광역시,2017,282.091182436564
세종특별자치시,2017,828.991116193157
경기도,2017,341.235875793056
강원특별자치도,2017,824.010858335604
충청북도,2017,778.357758747535
충청남도,2017,904.0567649048
전북특별자치도,2017,656.336704377401
전라남도,2017,393.568317817855
경상북도,2017,741.700575941597
경상남도,2017,343.59029268942
제주특별자치도,2017,444.096102962409
서울특별시,2018,558.175060975021
부산광역시,2018,702.348785166881
대구광역시,2018,474.595971888528
인천광역시,2018,226.437554735119
광주광역시,2018,749.221907889277
대전광역시,2018,936.868418958704
울산광역시,2018,277.316321105795
세종특별자치시,2018,726.025336450766
경기도,2018,329.160289222367
강원특별자치도,2018,801.524101829678
충청북도,2018,751.377999242123
충청남도,2018,873.641386073284
전북특별자치도,2018,646.436984892775
전라남도,2018,387.98295626541
경상북도,2018,716.124076377204
경상남도,2018,334.7483333778
제주특별자치도,2018,434.300725977989
서울특별시,2019,562.353367296698
부산광역시,2019,688.90713943465
대구광역시,2019,470.480370080163
인천광역시,2019,224.409390334683
광주광역시,2019,737.050029960285
대전광역시,2019,928.654284966522
울산광역시,2019,275.985071063075
세종특별자치시,2019,656.530214424951
경기도,2019,320.338737763278
강원특별자치도,2019,786.26989736449
충청북도,2019,724.169435266569
충청남도,2019,856.08990951447
전북특별자치도,2019,638.377832289682
전라남도,2019,379.256303119236
경상북도,2019,695.609876080919
경상남도,2019,325.255999692905
제주특별자치도,2019,425.374323375779
서울특별시,2020,568.947627142449
부산광역시,2020,671.717010157879
대구광역시,2020,469.346857748358
인천광역시,2020,223.087644611683
광주광역시,2020,735.531489039239
대전광역시,2020,908.482506143734
울산광역시,2020,278.013451760593
세종특별자치시,2020,625.036366709429
경기도,2020,313.805346473184
강원특별자치도,2020,743.853882777027
충청북도,2020,712.224272954893
충청남도,2020,844.39106413644
전북특별자치도,2020,636.267347792733
전라남도,2020,369.475524753841
경상북도,2020,691.944807572075
경상남도,2020,315.719503265634
제주특별자치도,2020,412.470003354464
서울특별시,2021,575.431847097384
부산광역시,2021,648.450918389251
대구광역시,2021,455.438477818093
인천광역시,2021,218.406966573226
광주광역시,2021,711.677247537683
대전광역시,2021,871.420570884962
울산광역시,2021,273.704145837341
세종특별자치시,2021,577.978072026307
경기도,2021,299.255442858762
강원특별자치도,2021,702.690959947965
충청북도,2021,684.021519805666
충청남도,2021,819.649515201654
전북특별자치도,2021,623.172311474995
전라남도,2021,350.171191111678
경상북도,2021,666.125407951349
경상남도,2021,301.747148858078
제주특별자치도,2021,394.192775091903
서울특별시,2022,571.154225491171
부산광역시,2022,621.754395134778
대구광역시,2022,442.01651388337
인천광역시,2022,210.50861701067
광주광역시,2022,695.487054140357
대전광역시,2022,844.329929240877
울산광역시,2022,266.854554569272
세종특별자치시,2022,546.452161973841
경기도,2022,288.044979290091
강원특별자치도,2022,669.589009422147
충청북도,2022,657.02597523235
충청남도,2022,789.601293594556
전북특별자치도,2022,599.141724132581
전라남도,2022,332.641239628693
경상북도,2022,645.561489599243
경상남도,2022,282.997048837575
제주특별자치도,2022,371.046272173959
서울특별시,2023,525.596601817301
부산광역시,2023,591.78291092909
대구광역시,2023,422.623756106575
인천광역시,2023,243.965585010002
광주광역시,2023,652.208073598992
대전광역시,2023,822.953056768559
울산광역시,2023,260.07712362756
세종특별자치시,2023,535.850384006566
경기도,2023,312.541217732785
강원특별자치도,2023,649.072288822665
충청북도,2023,615.77570958422
충청남도,2023,743.273926189008
전북특별자치도,2023,566.231673808839
전라남도,2023,307.0693946616
경상북도,2023,630.42349568867
경상남도,2023,275.772570925648
제주특별자치도,2023,349.888969442335
