city,year,internet_rate
서울,2014,0.810060722730391
부산,2014,0.786459627468859
대구,2014,0.881091552916913
인천,2014,0.770470981236547
광주,2014,0.872769848648446
대전,2014,0.816818710835191
울산,2014,0.847967980192273
세종,2014,0.59177557855506
경기,2014,0.791817715756952
강원,2014,0.675482796999137
충북,2014,0.716312351946065
충남,2014,0.735057569274216
전북,2014,0.699128883302419
전남,2014,0.64735159774854
경북,2014,0.819326500518992
경남,2014,0.770120491768608
제주,2014,0.730431984554742
서울,2015,0.80876841701063
부산,2015,0.814376169313834
대구,2015,0.867552118760367
인천,2015,0.805434183659105
광주,2015,0.890884135419755
대전,2015,0.828561397246336
울산,2015,0.885208761732975
세종,2015,0.723069172062473
경기,2015,0.803504673459005
강원,2015,0.69729613994497
충북,2015,0.730550560470225
충남,2015,0.72344490971698
전북,2015,0.724719856743877
전남,2015,0.667160936335111
경북,2015,0.810872374428311
경남,2015,0.796920700733213
제주,2015,0.764007452970664
서울,2016,0.825063991704476
부산,2016,0.86582966979213
대구,2016,0.872941598136238
인천,2016,0.831398067798914
광주,2016,0.903881047642455
대전,2016,0.881543419278375
울산,2016,0.899845370437738
세종,2016,0.810395756767818
경기,2016,0.823408796303759
강원,2016,0.704054986502953
충북,2016,0.816163980126899
충남,2016,0.803400893800879
전북,2016,0.795407880404479
전남,2016,0.719649691268733
경북,2016,0.81148389624199
경남,2016,0.843152260620592
제주,2016,0.753187434776691
서울,2017,0.854257742470082
부산,2017,0.889127252005934
대구,2017,0.901396785271297
인천,2017,0.84154230061857
광주,2017,0.92589537449606
대전,2017,0.901518631165696
울산,2017,0.926078210594234
세종,2017,0.86199313923828
경기,2017,0.848702838809152
강원,2017,0.789360668908187
충북,2017,0.842382507872046
충남,2017,0.853766177195456
전북,2017,0.849619927835407
전남,2017,0.760513476288424
경북,2017,0.848430094678824
경남,2017,0.860646961111722
제주,2017,0.788188080828319
서울,2018,0.864312405450283
부산,2018,0.889520062712882
대구,2018,0.916538744847984
인천,2018,0.868483191624447
광주,2018,0.932428612199432
대전,2018,0.929634246611675
울산,2018,0.920361509835194
세종,2018,0.924573599192644
경기,2018,0.857502243676421
강원,2018,0.8012486926068
충북,2018,0.87503638357348
충남,2018,0.886755895149546
전북,2018,0.862872347885294
전남,2018,0.78131034669929
경북,2018,0.884848928231765
경남,2018,0.863325959634509
제주,2018,0.812101174512161
서울,2019,0.872641577755151
부산,2019,0.870314487288995
대구,2019,0.947645714202369
인천,2019,0.884697214029053
광주,2019,0.901848485401201
대전,2019,0.934417418183254
울산,2019,0.895188490238081
세종,2019,0.898130098909826
경기,2019,0.861213840590409
강원,2019,0.809959944148648
충북,2019,0.92642198155567
충남,2019,0.932835820895522
전북,2019,0.812098978882727
전남,2019,0.769156811845015
경북,2019,0.904567072510375
경남,2019,0.843638656273519
제주,2019,0.818193171101417
서울,2020,0.882446003909964
부산,2020,0.89103181134786
대구,2020,0.939846550325737
인천,2020,0.881920334192998
광주,2020,0.915464001603931
대전,2020,0.938696373593053
울산,2020,0.92988913260323
세종,2020,0.930987761390053
경기,2020,0.880630177477508
강원,2020,0.772350740815756
충북,2020,0.931682517276727
충남,2020,0.915548539857932
전북,2020,0.841782028035428
전남,2020,0.793863477769435
경북,2020,0.906797489199971
경남,2020,0.865161828989671
제주,2020,0.840049428164306
서울,2021,0.899853708293948
부산,2021,0.923998611351991
대구,2021,0.917251709951166
인천,2021,0.904224213107669
광주,2021,0.946979409180572
대전,2021,0.917291974443756
울산,2021,0.954832974502358
세종,2021,0.838687931121427
경기,2021,0.899405724399682
강원,2021,0.785409634186786
충북,2021,0.899311405399052
충남,2021,0.907951334541796
전북,2021,0.865073800920764
전남,2021,0.801411341659077
경북,2021,0.888072602362691
경남,2021,0.923214218564896
제주,2021,0.837304796150692
서울,2022,0.883460118462889
부산,2022,0.923009486090413
대구,2022,0.930112453353356
인천,2022,0.89695748467588
광주,2022,0.975917062867903
대전,2022,0.926591330268786
울산,2022,0.947706108364436
세종,2022,0.858772983104799
경기,2022,0.894698989006604
강원,2022,0.801556870074568
충북,2022,0.918520003324517
충남,2022,0.901924896408525
전북,2022,0.901610818886502
전남,2022,0.804121323757126
경북,2022,0.915505915793775
경남,2022,0.908417273894672
제주,2022,0.910323815185688
서울,2023,0.890982372388925
부산,2023,0.913553915802572
대구,2023,0.943833008410619
인천,2023,0.886491992986026
광주,2023,0.958752859817872
대전,2023,0.949781659388646
울산,2023,0.934993138356807
세종,2023,0.930384312445993
경기,2023,0.899373597174251
강원,2023,0.881201528275481
충북,2023,0.935253769785093
충남,2023,0.924465565914666
전북,2023,0.908649271409248
전남,2023,0.846585626821387
경북,2023,0.934251791730136
경남,2023,0.915140683795993
제주,2023,0.857703922318569
