시도별,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
전국,30861,32556,34042,35831,36866,37274,37515,40271,41948,46490
서울특별시,35113,37236,39356,41374,43664,45118,46221,49680,51612,58250
부산광역시,22467,23956,24815,25650,26464,27577,27204,29395,31611,34760
대구광역시,19725,20991,21602,22310,23151,23883,23910,25543,26736,30980
인천광역시,26068,27798,29120,30284,30194,30584,30367,33551,35295,38840
광주광역시,21944,23139,24511,25240,26654,27799,28433,29779,30900,35450
대전광역시,22497,24094,25606,26533,27214,28561,29757,31590,33682,36650
울산광역시,60925,62605,64021,65370,63793,65112,60895,69392,77511,81240
세종특별자치시,62944,49474,42572,40043,36570,35802,36473,38157,37875,43170
경기도,28638,30748,32336,35307,36821,36064,36521,38879,39969,43070
강원도,25676,26946,28328,29925,30856,32192,32026,33679,34426,40710
충청북도,31729,34728,37273,40590,43016,42704,42667,46123,48616,54210
충청남도,46360,48173,50264,53663,53006,51874,53078,57622,58937,64710
전라북도,24681,25621,26089,26988,27797,28835,29252,31187,32464,36280
전라남도,36953,38339,39824,41076,42131,43402,43957,49572,51422,55510
경상북도,38742,38510,40040,41130,40677,40082,39887,42896,43886,48810
경상남도,30555,32007,32758,32789,32993,34040,33186,34046,36501,42140
제주특별자치도,25968,28280,30284,31470,30721,30792,29334,29988,31150,38450
